device_a,device_b,shared_keyword_count,jaccard_similarity,same_family_seed,evidence_type,notes
ECOLITE_3000,INTEGER_IV,5,0.0595,False,keyword_overlap,
ECOLITE_II_300,SUPRA_VI_PLUS,6,0.0594,False,keyword_overlap,
ECOLITE_II_400,ETC,7,0.0593,False,keyword_overlap,
GENEVA_XP,SUPRA_NM,40,0.0593,False,keyword_overlap,
GENEVA_XP,ZEDIUS,15,0.0593,False,keyword_overlap,
INTEGER_IVR,SUPRA_NP,30,0.0586,False,keyword_overlap,
ECOLITE3000,ECOLITE_II_300,27,0.0583,False,keyword_overlap,
GENEVA_XP,SUPRA_VI,18,0.0583,False,keyword_overlap,
ECOLITE_II_400,ZEDIUS_XP,32,0.058,False,keyword_overlap,
GENEVA_XP,INTEGER_IVR,34,0.058,False,keyword_overlap,
ALL,OMNIS_PLUS,53,0.0573,False,keyword_overlap,
SUPRA_VI,SUPRA_VPLUS,159,0.0573,True,keyword_overlap,
ECOLITE_II,ECOLITE_II_400,6,0.0571,True,keyword_overlap,
ECOLITE_II_300,ZIVIS_XP,11,0.057,False,keyword_overlap,
ECOLITE_II_400,INTEGER_IVR,29,0.0558,False,keyword_overlap,
ECOLITE_II_400,SUPRA_III,40,0.055,False,keyword_overlap,
DAS2000,ECOLITE_II,23,0.0545,False,keyword_overlap,
ETC,INTEGER_IVR,28,0.0545,False,keyword_overlap,
TERA21I,TERA21S,13,0.0544,True,keyword_overlap,
ECOLITE3000,SUPRA_VI_PLUS,26,0.0543,False,keyword_overlap,
INTEGER_IV,OMNIS,44,0.0541,False,keyword_overlap,
ECOLITE_II_300,TERA21S,13,0.0537,False,keyword_overlap,
GENEVA_XP,ZIVIS_XP,15,0.0536,False,keyword_overlap,
ECOLITE_3000,ZEDIUS,8,0.0526,False,keyword_overlap,
ETC,SUPRA_VI_PLUS,6,0.0526,False,keyword_overlap,
SUPRA_III,SUPRA_NP,38,0.0526,True,keyword_overlap,
ECOLITE3000,GENEVA_XP,29,0.0525,False,keyword_overlap,
TERA21I,ZIVIS_XP,10,0.0524,False,keyword_overlap,
ECOLITE3000,ETC,25,0.0523,True,keyword_overlap,
ALL,SUPRA_XP,97,0.052,False,keyword_overlap,
ECOLITE_II,GENEVA_XP,9,0.052,False,keyword_overlap,
DAS2000,ECOLITE_II_300,22,0.0519,False,keyword_overlap,
ECOLITE_II,ZIVIS_XP,10,0.0518,False,keyword_overlap,
ECOLITE3000,ECOLITE_II,24,0.0516,False,keyword_overlap,
OMNIS,SUPRA_VI_PLUS,42,0.0515,False,keyword_overlap,
SUPRA_NP,TERA21I,5,0.0515,False,keyword_overlap,
GENEVA_XP,TIGMA_VM,30,0.0505,False,keyword_overlap,
ALL,SUPRA_VI_PLUS,10,0.0503,False,keyword_overlap,
